ID,Nombre,Ciudad,Edad,Ventas,Categoria,Fecha
2,Luis,medellín,31.0,1850.0,Hogar,2026-06-01
4,Carlos,barranquilla,35.0,2100.0,Deportes,2026-08-01
5,Laura,villavicencio,29.0,1750.0,Moda,2026-09-01
6,Juan,bogotá,41.0,2450.0,Tecnología,2026-10-01
7,Sofia,cali,22.0,890.0,Moda,2026-11-01
8,Miguel,medellín,38.0,1990.0,Hogar,2026-12-01
10,Andrés,villavicencio,33.0,1675.0,Deportes,
11,Camila,bogota,24.0,1320.0,Tecnología,
12,Pedro, medellin ,30.0,1650.0,Hogar,
13,Daniela,cali,29.0,1120.0,Moda,
15,Natalia,bogota,32.0,1980.0,Tecnología,
16,Sebastián,cali ,29.0,1560.0,Deportes,
17,Paula,medellin,27.0,1750.0,Hogar,
18,Andrés,villavicencio,33.0,1675.0,Deportes,
19,Juliana,bogotá,26.0,1850.0,Moda,
22,Diego,medellín,29.0,2100.0,Hogar,
24,Tomás,barranquilla,37.0,2600.0,Deportes,
25,Gabriela,bogotá,23.0,1180.0,Moda,
27,Isabella,cali,28.0,1650.0,Moda,
28,Samuel,medellín,34.0,1900.0,Hogar,2026-01-02
30,David,cali,29.0,1250.0,Deportes,2026-03-02
31,Alejandra,villavicencio,26.0,1480.0,Moda,2026-04-02
34,Jorge,medellin,45.0,3200.0,Hogar,2026-07-02
35,Carolina,cali,28.0,1.45,Moda,2026-08-02
36,Esteban,barranquilla,36.0,1650.0,Deportes,2026-09-02
38,Ricardo,medellín,39.0,2150.0,Hogar,2026-11-02
39,Mónica,cali,27.0,1050.0,Moda,2026-12-02
40,Oscar,villavicencio,31.0,1680.0,Deportes,
42,Luis,medellín,31.0,1850.0,Hogar,2026-06-01
43,Rosa,cali,29.0,1650.0,Moda,
45,Kevin,bogota,24.0,1500.0,Tecnología,
46,Laura,villavicencio,29.0,1750.0,Moda,2026-09-01
47,Martín,medellín,33.0,1980.0,Hogar,
48,Elena,cali,26.0,1170.0,Moda,
49,Pablo,barranquilla,40.0,2300.0,Deportes,
52,Bruno,medellín,29.0,1800.0,Hogar,
53,Claudia,cali,34.0,1420.0,Moda,
55,Viviana,bogotá,26.0,1650.0,Tecnología,
56,Santiago,medellin,32.0,2050.0,Hogar,2026-01-03
57,Tatiana,cali,25.0,980.0,Moda,2026-02-03
58,Gustavo,barranquilla,38.0,2700.0,Deportes,2026-03-03
59,Patricia,villavicencio,30.0,1550.0,Moda,2026-04-03
60,Alejandro,bogota,35.0,2200.0,Tecnología,2026-05-03
